97|65,59
97|40,30
10|66,20
29|83,24
17|37,47
87|02,64
27|55,97
25|68,29
47|12,71
98|77,33
16|00,68
72|13,91
0|52,98
59|44,14
13|41,49
13|83,44
27|14,42
94|43,26
92|97,80
41|35,69
24|22,56
57|19,58
41|97,49
30|77,61
24|53,08
64|67,82
92|00,01
52|96,18
18|47,28
37|63,54
24|51,08
20|53,49
45|82,09
30|01,70
98|60,83
91|52,90
66|65,28
22|88,96
11|32,22
63|51,91
41|71,87
54|92,77
72|65,55
51|66,82
11|96,20
8|13,94
42|24,94
52|25,37
8|99,93
39|50,95
42|22,53
1|57,75
24|13,77
31|97,40
3|26,46
14|02,72
94|78,74
91|01,93
59|10,39
41|81,26
79|10,60
30|11,25
51|49,54
6|18,77
22|05,44
71|28,43
6|33,89
99|04,74
82|13,91
89|12,99
18|80,51
86|52,49
22|41,92
55|41,74
65|32,13
15|38,71
86|59,22
57|49,22
0|16,81
2|80,82
23|44,30
94|69,89
36|20,57
56|53,67
84|46,83
18|01,99
81|90,87
13|07,04
35|69,91
94|89,74
1|73,79
34|20,27
17|52,35
54|96,61
14|74,26
35|24,73
30|43,88
36|01,80
52|43,57
67|10,85
61|53,82
53|32,48
88|77,43
27|63,82
54|07,58
26|95,50
58|96,66
37|50,91
40|36,91
58|13,07
89|83,79
1|77,37
38|69,00
22|69,74
86|29,26
86|00,52
69|87,55
56|05,64
50|91,68
59|69,84
11|26,06
28|15,70
46|69,93
90|91,48
30|54,63
76|99,58
74|58,23
86|13,42
98|95,19
9|31,65
3|00,23
18|02,55
92|14,29
0|93,77
51|35,50
93|74,89
1|13,21
51|07,41
13|82,87
97|63,48
56|62,21
70|45,94
49|48,91
69|23,97
10|33,93
84|26,20
14|53,46
98|57,67
95|10,06
12|37,98
75|20,43
99|67,71
3|25,54
95|97,48
87|17,46
53|01,79
35|95,69
66|59,24
17|53,61
86|05,44
71|86,81
4|20,31
94|70,68
98|53,01
87|70,90
23|20,85
26|30,18
5|77,35
76|28,59
90|76,00
24|81,77
91|57,71
16|96,69
87|65,30
50|28,22
84|52,64
74|81,34
26|64,68
79|71,42
27|68,84
76|84,68
51|48,70
59|22,71
95|68,27
39|86,00
80|44,88
5|38,56
19|78,49
41|99,67
81|23,64
13|07,11
10|94,08
60|15,17
71|67,84
37|80,17
2|42,26
61|48,94
71|80,95
20|80,14
16|34,98
25|13,52
7|26,51
68|19,25
15|48,86
0|52,32
17|01,25
29|74,67
30|31,27
74|75,76
96|47,90
12|22,07
94|41,76
