40|20190810T163433+0200|juxmg99y-9qe9o-tjj6-9w5v-6ing2rv7g1st|12|44
86|20190810T163504+0200|01h0udtv-6k1d6-1jd7-2ygi-do0m8wbv8p67|50|23
15|20190810T163658+0200|to0rpno5-ta6vx-h3vt-56ok-4gsrit9zhtxp|37|62
97|20190810T163415+0200|9xjo3ul3-rmk6x-mrbl-0orz-42hy0p66rxwb|84|76
35|20190810T163341+0200|b8f8uvzd-sw7s1-6sa1-0wk7-ljgadziyuor4|3|16
8|20190810T163514+0200|3cdrneqg-75sbq-sdro-9u47-4nep1g9snkqk|24|5
29|20190810T163518+0200|kxc970d7-rrr4e-id3g-2ssu-6t4nqb629pf3|55|94
18|20190810T163341+0200|jv26rwl9-mlcrg-nj79-fxa3-mymvw0widbuv|25|44
97|20190810T163633+0200|q93b7or9-ysvvl-naze-nv3b-hvaj8c60d40n|1|57
20|20190810T163858+0200|xk6inlyr-vkcta-8ukr-y97h-xovh0g57akxw|1|25
76|20190810T163500+0200|7xa75phx-vpuo0-0lww-sqrp-owz87w5svz47|94|56
83|20190810T163715+0200|yk7tcf0f-nsm86-oni8-cwxv-rj9vao5ga4xw|25|45
41|20190810T163549+0200|oqa7shch-b5acj-ljub-04t1-db7e2kse4vig|40|86
32|20190810T163852+0200|gwnre69r-b2om8-y663-jhrc-mjhfi66n2fmy|50|58
79|20190810T163450+0200|uhw99wjb-mhexm-0wnt-wi5z-a5vp3j9a4blb|29|15
8|20190810T163810+0200|rw94avrc-obj8f-629e-cg3i-6w9j27yqwnjx|74|15
67|20190810T163422+0200|abd7md6d-ifv8h-x0zr-6wxk-f2u9exliczud|13|91
62|20190810T163524+0200|up7im7k3-gci7a-xgvd-l2v2-mlrov2hiyo7g|46|54
88|20190810T163320+0200|3jjzifnb-amph4-x2wk-tp3u-twcphxcsar0f|58|1
47|20190810T163426+0200|rl54lv9z-51tih-n3px-he8l-vt7cyf4myy6n|30|99
72|20190810T163627+0200|gqfnhvxh-2xpmx-dz2k-eek0-kw03y6poqj3u|46|73
29|20190810T163405+0200|wn4h77ai-x0ebm-h2hz-o3yk-u8k5ofgujmzu|36|72
94|20190810T163739+0200|ohl5nfl7-3c6v6-7fi2-epj2-9rds2qmsq0e7|9|21
36|20190810T163402+0200|izwi5rf5-46f7w-8of0-qu84-arckwo1zcfvz|55|2
18|20190810T163556+0200|0c6dhe9x-ldw34-suiv-d61x-ocnsgbma3y9t|0|5
79|20190810T163800+0200|9dann3nd-58ibz-hhov-39w7-qd7y7jy92pci|86|37
26|20190810T163419+0200|if10lrtj-h2a99-u0b4-03yd-1eqc6hkcva94|29|42
57|20190810T163436+0200|kzib37xo-0r5a5-xs2q-tva1-ih7rc7p11zx7|98|67
43|20190810T163711+0200|9knwuf10-n64dj-a8ou-x39v-8199m84qao7n|68|20
17|20190810T163450+0200|bfrf09ad-1hyp6-qif3-xmbb-bkqqbutromw9|67|42
61|20190810T163446+0200|ybbwy7dn-8v7gy-gum4-ssg5-9m2dxp6cu66t|76|59
54|20190810T163545+0200|3je3pylk-9tn6f-bnt7-cx1b-4jdqshx04ao6|82|15
7|20190810T163549+0200|ni8i8zc3-8opn5-s7h4-7w6y-3b9hyojtlir1|5|71
75|20190810T163824+0200|9d5k6v1i-8xa1d-csvt-m1ny-w2tf841kprhd|29|61
20|20190810T163337+0200|kfwartm3-qjnf4-qi7w-ift5-l363ruw0oqfc|86|49
54|20190810T163334+0200|50d5l51i-ukkmd-26wb-vjqy-tfl8s53ytcu0|77|24
